Saldos em Estoque;;;;;;;;;;;;
CODIGO;TP;GRUPO;DESCRICAO;U.M.;FL;ARMZ;SALDO EM ESTOQUE;EMPENHO PARA REQ/PV/RESERVA;ESTOQUE DISPONIVEL;VALOR EM ESTOQUE;VALOR EMPENHADO;DESCRICAO DO ARMAZEM
2080703070;MP;MP08;"FONTE CHAVEADA (CONVERSOR ESTATICO) PARA CONVERSAO DE CORRENTE ALTERNADA EM CC; AC/DC DC12V:12.5A(2080703070)";UN;010108;07; 4,000 ; -   ; 4,000 ; 295,15 ; -   ;LIVOLTEK - VENDAS
2080703080;MP;MP08;"FONTE CHAVEADA (CONVERSOR ESTATICO) PARA CONVERSAO DE CORRENTE ALTERNADA EM CC;AC/DC DC24V:6.3A(2080703080)";UN;010108;07; 4,000 ; -   ; 4,000 ; 349,13 ; -   ;LIVOLTEK - VENDAS
2080900460;MP;MP08;"DISPOSITIVO MICROCONTROLADOR TCU PCB;THE CONTROL SCREEN DISPLAYS AND CONNECTS TO THE OCPP PLATFORM;185MM*141MM*30MM;ROHS";UN;010108;07; 1,000 ; -   ; 1,000 ; 1.344,97 ; -   ;LIVOLTEK - VENDAS
2090700481;MP;MP07;"INTERRUPTOR, CHAVE FIM DE CURSO PARA UMA TENSAO NAO SUPERIOR A 1000V; 4.8MM±0.38MM;58.8*33*17.5MM";UN;010108;07; 12,000 ; -   ; 12,000 ; 78,45 ; -   ;LIVOLTEK - VENDAS
2090903191;MP;MP04;CONECTOR DE PASSAGEM (2090903191);UN;010108;31; 39,000 ; -   ; 39,000 ; 199,68 ; -   ;PROJETO COPEL FASE 1
2120500010;MP;MP08;"PAINEL INDICADOR COM DISPOSITIVOS DE CRISTAIS LIQUIDOS (LCD); DC12V;-20-+70?;1280*800;/;LVDS(18 BITS);308*228*45.8MM";UN;010108;07; 4,000 ; -   ; 4,000 ; 3.372,37 ; -   ;LIVOLTEK - VENDAS
2140100451;MP;MP08;ANTENA DE COMUNICACAO POR RADIOFREQUENCIA (2M) (2140100451);UN;010108;31; 4.270,000 ; -   ; 4.270,000 ; 29.041,55 ; -   ;PROJETO COPEL FASE 1
2140102360;MP;MP08;ANTENA DE COMUNICACAO 3G/4G (2140102360);UN;010108;28; 12,000 ; -   ; 12,000 ; 333,28 ; -   ;CDS PROJECTS ENERGY
2140102360;MP;MP08;ANTENA DE COMUNICACAO 3G/4G (2140102360);UN;010108;31; 90,000 ; -   ; 90,000 ; 7.146,00 ; -   ;PROJETO COPEL FASE 1
2140102360;MP;MP08;ANTENA DE COMUNICACAO 3G/4G (2140102360);UN;010108;32; 62,000 ; -   ; 62,000 ; 9.644,52 ; -   ;PROJETO CELESC
2140102370;MP;MP08;ANTENA DE COMUNICACAO 2.4GHZ (2140102370);UN;010108;28; 10,000 ; -   ; 10,000 ; 129,48 ; -   ;CDS PROJECTS ENERGY
2140102370;MP;MP08;ANTENA DE COMUNICACAO 2.4GHZ (2140102370);UN;010108;31; 54,000 ; -   ; 54,000 ; 1.949,94 ; -   ;PROJETO COPEL FASE 1
2140102660;MP;MP08;ANTENA DE COMUNICACAO GPRS (2140102660);UN;010108;28; 12,000 ; -   ; 12,000 ; 133,40 ; -   ;CDS PROJECTS ENERGY
2140102660;MP;MP08;ANTENA DE COMUNICACAO GPRS (2140102660);UN;010108;31; 106,000 ; -   ; 106,000 ; 3.638,98 ; -   ;PROJETO COPEL FASE 1
2140102790;MP;MP03;ARRUELA DENTADA Ø10,2*1.0MM - LATAO BANHADO A OURO (2140102790);UN;010108;31; 5.690,000 ; -   ; 5.690,000 ; 575,26 ; -   ;PROJETO COPEL FASE 1
