Saldos em Estoque,,,,,,,,,,,,
CODIGO,TP,GRUPO,DESCRICAO,U.M.,FL,ARMZ,SALDO EM ESTOQUE,EMPENHO PARA REQ/PV/RESERVA,ESTOQUE DISPONIVEL,VALOR EM ESTOQUE,VALOR EMPENHADO,DESCRICAO DO ARMAZEM
2140500020,MP,MP08,ADAPTADOR DE CONEXAO RF SMA MACHO PARA TIPO N MACHO 3600MM E TENSAO DE ATE 300 VDC (2140500020),UN,10108,28,98,-,98,"2.335,17",-,CDS PROJECTS ENERGY
3010315200,MP,MP08,RELE PARA UMA TENSAO DE ATE 12V DC; 10A;CZT08A-02+NG102;ROHS (3010315200),UN,10108,7,16,-,16,"179,24",-,LIVOLTEK - VENDAS
3010913120,MP,MP09,DISJUNTOR DIN ;40A;3P;6KA;CDB6I;ROHS.(3010913120),UN,10108,7,4,-,4,"71,47",-,LIVOLTEK - VENDAS
3010913140,MP,MP09,"DISJUNTOR DIN; 16A;1P+N;6,10KA;CDB6HLES-63;ROHS (3010913140)",UN,10108,7,4,-,4,"77,39",-,LIVOLTEK - VENDAS
3011800300,MP,MP07,VENTILADOR TIPO COOLER FAN ;175*150*51;1.9A;24V;66.4DB;354.71;400.0MM;70000HRS AT 40?;ROHS(3011800300),UN,10108,7,13,-,13,"1.764,00",-,LIVOLTEK - VENDAS
3011901840,MP,MP04,BOTAO DE EMERGENCIA; NP4-11ZS/1;RED;38*31*64MM;ROHS (3011901840),UN,10108,7,4,-,4,"114,24",-,LIVOLTEK - VENDAS
3012001050,MP,MP09,DISJUNTOR CAIXA MOLDADA; CDM6H-250M/3308;250.0A;3P;50KA;ROHS (3012001050),UN,10108,7,4,-,4,"731,13",-,LIVOLTEK - VENDAS
3012102500,MP,MP08,CONECTOR PARA CABO DE REDE (3012102500),UN,10108,28,12,-,12,"182,22",-,CDS PROJECTS ENERGY
3012103830,MP,MP08,TERMINAL ELETRICO MC4 FEMEA,UN,10108,7,"8.325,00",-,"8.325,00","12.975,35",-,LIVOLTEK - VENDAS
3012103860,MP,MP08,CONECTOR MC4 MACHO,UN,10108,7,"9.030,00",-,"9.030,00","6.998,25",-,LIVOLTEK - VENDAS
3012103890,MP,MP08,CONECTOR MC4 FEMEA,UN,10108,7,"9.030,00",-,"9.030,00","7.019,92",-,LIVOLTEK - VENDAS
3012103900,MP,MP08,TERMINAL ELETRICO MC4 MACHO,UN,10108,7,"8.325,00",-,"8.325,00","6.487,67",-,LIVOLTEK - VENDAS
3013200300,MP,MP09,DPS CC LIVOLTEK LSP-40 2P 600V 40KA (LSP-40/2) (3013200300),UN,10108,28,"60,002",-,"60,002","1.846,27",-,CDS PROJECTS ENERGY
3013200750,MP,MP06,DISPOSITIVO DE PROTECAO CONTRA SURTOS (DPS);70.3*99.7*67,UN,10108,7,4,-,4,"221,80",-,LIVOLTEK - VENDAS
3013400040,MP,MP08,RELE (CONTATOR) PARA UMA TENSAO DE ATE 400V CONTROLE DA FONTE DE ALIMENTACAO DO MODULO DE CARREGAMENTO;AC 400V;3P; (3013,UN,10108,7,2,-,2,"1.484,34",-,LIVOLTEK - VENDAS
3013400100,MP,MP08,RELE (CONTATOR) PARA UMA TENSAO DE ATE 1000V DC;12~1000VDC;CE;ROHS (3013400100),UN,10108,7,25,-,25,"3.153,58",-,LIVOLTEK - VENDAS
3013500320,MP,MP08,FUSIVEL; SEV-43F-1000V;1000V;400.0A;ROHS,UN,10108,7,1,-,1,"74,85",-,LIVOLTEK - VENDAS
3013500620,MP,MP08,FUSIVEL PARA UMA TENSAO NAO SUPERIOR A 1000V ;SEV-43F-250/1000;DC;250.0A;ROHS(3013500620),UN,10108,7,7,-,7,"636,62",-,LIVOLTEK - VENDAS
3022500339,PI,PI04,BASE DO MODULO ZEUS (3022500339),UN,10108,31,"6.666,00",-,"6.666,00","1.509,18",-,PROJETO COPEL FASE 1
