Saldos em Estoque;;;;;;;;;;;;
CODIGO;TP;GRUPO;DESCRICAO;U.M.;FL;ARMZ;SALDO EM ESTOQUE;EMPENHO PARA REQ/PV/RESERVA;ESTOQUE DISPONIVEL;VALOR EM ESTOQUE;VALOR EMPENHADO;DESCRICAO DO ARMAZEM
9121290210;MP;MP03;ESTRUTURA METALICA PARA TELHADO CERAMICO - PERFIL 2,40;UN;010106;07; 500,000 ; -   ; 500,000 ; 140.990,80 ; -   ;LIVOLTEK - VENDAS
9121500637;RV;RV01;INVERSOR ON-GRID LIVOLTEK GT1-10KT1;UN;010106;12; 1,000 ; -   ; 1,000 ; 2.203,56 ; -   ;SOLAR DISAPPROVAL
9140274337;RV;RV01;CARREGADOR VEICULAR  LIVOLTEK CA 7.3KW ACE  230V  32A  CABO 5M  1XTIPO 2  BT | WI-FI  ETH  RFID;UN;010106;12; 2,000 ; -   ; 2,000 ; 3.108,84 ; -   ;SOLAR DISAPPROVAL
9191271060;RV;RV01;KIT TELHADO CERAMICO CCM-10 4 MODULOS STD.;UN;010106;07; 218,000 ; -   ; 218,000 ; 66.635,58 ; -   ;LIVOLTEK - VENDAS
9191271061;RV;RV01;KIT TELHADO FIBROCIMENTO FIX MADE 200 MM 4 MODULOS STD;UN;010106;07; 2.185,000 ; -   ; 2.185,000 ; 540.612,26 ; -   ;LIVOLTEK - VENDAS
9191271062;RV;RV01;KIT TELHADO FIBROMETAL FIX MTL 250 MM 4 MODULOS STD;UN;010106;07; 414,000 ; -   ; 414,000 ; 104.996,69 ; -   ;LIVOLTEK - VENDAS
9191271063;RV;RV01;KIT MINI TRILHO BAIXO P-1 PARA 4 MODULOS 300 MM;UN;010106;07; 549,000 ; 4,000 ; 545,000 ; 50.919,37 ; 371,00 ;LIVOLTEK - VENDAS
9191271064;RV;RV01;TRIANGULO RETRATO TELESCOPIO 4 MODULOS 15° A 30° LAJE;UN;010106;07; 33,000 ; -   ; 33,000 ; 24.058,13 ; -   ;LIVOLTEK - VENDAS
9191271065;RV;RV01;KIT SOLO EASY LINE 4 MODULOS - 1134X2279;UN;010106;07; 865,000 ; -   ; 865,000 ; 497.095,86 ; -   ;LIVOLTEK - VENDAS
9192219508;MC;MR02;PLACA DE COBERTURA DA BANDEJA DE FIBRA DE VIDRO (REF.: 4032500550 );UN;010106;01; 43,000 ; -   ; 43,000 ; 3.945,40 ; -   ;ARMAZEM PADRAO
9192219510;MC;MR02;"PALETE DE SOLDA PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 320*280MM";UN;010106;01; 5,000 ; -   ; 5,000 ; 1.717,51 ; -   ;ARMAZEM PADRAO
9192219511;MC;MR02;"PALETE DE SOLDA PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 360*280MM";UN;010106;01; 5,000 ; -   ; 5,000 ; 1.417,33 ; -   ;ARMAZEM PADRAO
9192219512;MC;MR02;"PALETE DE SOLDA PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 400*280MM";UN;010106;01; 5,000 ; -   ; 5,000 ; 1.519,25 ; -   ;ARMAZEM PADRAO
9192219513;MC;MR02;"PALETE DE SOLDA PCB - MATERIAL DE PEDRA SINTETICA DE 8MM; TAMANHO 480*350MM";UN;010106;01; 6,000 ; -   ; 6,000 ; 3.833,62 ; -   ;ARMAZEM PADRAO
9192219514;MC;MR02;"PALETE DE CODIFICACAO PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 320*450MM";UN;010106;01; 10,000 ; -   ; 10,000 ; 3.877,28 ; -   ;ARMAZEM PADRAO
9192219515;MC;MR02;"PALETE DE CODIFICACAO PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 360*450MM";UN;010106;01; 8,000 ; -   ; 8,000 ; 3.468,98 ; -   ;ARMAZEM PADRAO
9192219516;MC;MR02;"PALETE DE CODIFICACAO PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 400*450MM";UN;010106;01; 10,000 ; -   ; 10,000 ; 4.827,30 ; -   ;ARMAZEM PADRAO
9192219517;MC;MR02;"PALETE DE CODIFICACAO PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 280*450MM";UN;010106;01; 10,000 ; -   ; 10,000 ; 3.501,97 ; -   ;ARMAZEM PADRAO
9192219832;RV;RV01;KIT TELHADO FIBROCIMENTO P/ MADEIRA METALLIGHT 4 MODULOS STD;UN;010106;07; 309,000 ; -   ; 309,000 ; 89.508,03 ; -   ;LIVOLTEK - VENDAS
A0070230E11R11302;RV;RV01;CARREGADOR VEICULAR LIVOLTEK  CA 7.3KW  ATOM  230V  32A  CABO 5M  1XTIPO 2  BT  WI-FI  ETH  HARDWARE A21  BO;UN;010106;07; 58,000 ; -   ; 58,000 ; 58.230,84 ; -   ;LIVOLTEK - VENDAS
A0070230E1EHR11002;RV;RV01;CARREGADOR VEICULAR  LIVOLTEK  CA 7.3KW  ACE  230V  32A  CABO 5M  1XTIPO 2  BT  WI-FI  ETH  RFID;UN;010106;07; 5,000 ; -   ; 5,000 ; 12.717,57 ; -   ;LIVOLTEK - VENDAS
