CODIGO;DESCRICAO;CODIGO TOP MANAGER;CATEGORIA;FAMILIA;NOMENCLATURA;;;;;;;;
9191267508;CAIXA DE PAPELAO INDIVIDUAL DN200;;;;;;;;;;;;
9191267507;CAIXA DE PAPELAO INDIVIDUAL DN150;;;;;;;;;;;;
9191267506;CAIXA INDIVIDUAL DE PAPELAO PADRAO EXPORTACAO MONOFASICO;;;;;;;;;;;;
9191267401;DIVISORIAS DE PAPELAO DA CAIXA COLETIVA (TAMANHO P) - DVM - B ( 04 CORTES) - RECICLADO;;;;;;;;;;;;
9191267400;DIVISORIAS DE PAPELAO DA CAIXA COLETIVA (TAMANHO P) - DVM - A - RECICLADO;;;;;;;;;;;;
9191267104;DIVISORIAS DE PAPELAO DA CAIXA COLETIVA (TAMANHO M) - DVM- C (165 X 590 - 04 CORTES);;;;;;;;;;;;
9191257907;CAIXA MASTER DE PAPELAO MONTAGEM HORIZONTAL - CONCENTRADOR SECUNDARIO - PANTHEON - SEM CALCO;;;;;;;;;;;;
9191257901;CAIXA MASTER DE PAPELAO COM CALCOS LATERAIS - CONCENTRADOR SECUNDARIO - PANTHEON;;;;;;;;;;;;
9191257809;CAIXA DE PAPELAO COLETIVA COM CAIXA INDIVIDUAL - MEDIDORES ARES 7023 (HIGH END POLI);;;;;;;;;;;;
9191256801;BASE PARA PALLET ESCRAVO 1000X1200 OTIMIZADO.;;;;;;;;;;;;
9191237500;CAIXA MASTER PAPELAO KRAFT MEDIDORES MONO 3 FIOS E POLIFASICO COM CAIXA INDIVIDUAL - ELETRA;;;;;;;;;;;;
9190772302;CABO FLEXIVEL DE 1,5 MM² - COR PRETO;;PRODUTO;CABO;;;;;;;;;
9190132502;FILME POLIESTER ESTICAVEL STRAWRAP 25 MICRAS 500MM (BOBINA COM 5KG);;;DIVERSOS;FILME POLIESTER ESTICAVEL STRAWRAP 25 MICRAS 500MM (BOBINA COM 5KG);;;;;;;;
9159610000;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;;;;;;;;;;;;
9159318001;INVERSOR ON-GRID MONOFASICO 8KW 220V GT1-8K SENERGY;;PRODUTO;INVERSOR - GT1;;;;;;;;;
9159316000;INVERSOR ON-GRID MONOFASICO 6KW 220V GT1-6K SENERGY;;PRODUTO;INVERSOR - GT1;;;;;;;;;
9158310104;KIT CHAVE DE INTERRUPCAO SOB CARGA - LBS - HXD811-F30 15.5KV;;;;;;;;;;;;
9156320001;"HID. ULTRASSONICO RES.; LATAO; DN20-190 MM; Q3=4 M³/H; R500; PULSO (ZLW20-4)";;;;;;;;;;;;
9140800068;MODULO DE COMUNICACAO WISUN ZEUS NG + 12V + ANTENA EXTERNA + FIXACAO NO POSTE CELESC;;;;;;;;;;;;
9140800039;MODULO DE COMUNICACAO WISUN HEXING (915MHZ) + 8V + ANTENA INTERNA;;;;;;;;;;;;
9140294800;SCJ. GABINETE E ACESSORIOS BALANCE METER;;;;;;;;;;;;
9140292200;KIT CONECTOR MC4;;PRODUTO;CONECTOR;;;;;;;;;
9140291601;GAB. METALICO PANTHEON EM ACO CARB. GALVANIZADO (2000H) PINTURA RAL 7035 (TAMPA C/ FURO) (V2) (NACIONAL);;;;;;;;;;;;
9140291203;"SCJ. SUPORTE PARA ANTENA EM """"L"""" AJUSTAVEL PARA PORTE """"T"""" COM FIXACAO POR FUROS";;;;;;;;;;;;
9140290938;GAB. METALICO PANTHEON ACO CARB. GALV. 1,2MM RAL 7035 (2000H) (RETRABALHADO);;;;;;;;;;;;
9140283100;INVERSORES PARA SISTEMAS FOTOVOLTAICOS HIBRIDO MONOFASICO 3KW 220V 2 MPPT AFCI HP1-3KS2R11001;;PRODUTO;INVERSOR;;;;;;;;;
9140274337;CARREGADOR VEICULAR | LIVOLTEK | CA 7.3KW | ACE | 230V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI | ETH | RFID;;PRODUTO;CARREGADOR 7,3kW;;;;;;;;;
9140262500;KIT DE ESTRUTURA DE COMUNICACAO REMOTA - SIGFI COPEL;;;;;;;;;;;;
9140258700;CONJUNTO METALICO PARA ARMACAO DE ROLDANA COM ISOLAMENTO EM PORCELANA 72 X 72MM;;;;;;;;;;;;
9140256004;SCJ. TAMPA DO MODULO ZEUS + VISOR - S/ANTENA;;;;;;;;;;;;
9140256003;SCJ. TAMPA DO MODULO ZEUS + VISOR - C/ANTENA;;;;;;;;;;;;
9130109100;PROTETOR SURTO DPS SOLAR 1040V 40KA;;;;;;;;;;;;
9122100268;CONVERSOR DE MIDIA SM, MONOFIBRA, SC/APC, PORTA RJ45, 10/100MBPS, 5-12VCC- LADO B- 20KM;;;;;;;;;;;;
9122100255;PARAFUSADEIRA ELETRICA;;;;;;;;;;;;
9122100023;EMPILHADEIRA.;;;DIVERSOS;EMPILHADEIRA.;;;;;;;;
9122004169;ROTEADORES DE BORDA PARA COMUNICACAO BIDIRECIONAL DE DADOS SEM FIO MODELO HXAP1000R21107-CPL.V2;;;;;;;;;;;;
9122004168;REPETIDORES DE SINAL DE RADIO FREQUENCIA P/ COMUN. BIDIREC. DADOS S/FIO MODELO HXWSG100R21003-CPL.V2;;;;;;;;;;;;
9122003280;CINTA POSTE CIRCULAR ACO GALVANIZADO 200MM;;;;;;;;;;;;
9122003279;FITA DE ANCORAGEM COM ARGOLA D 150CM;;;;;;;;;;;;
9122003278;FITA DE ANCORAGEM COM ARGOLA D 120M;;;;;;;;;;;;
9122003277;FITA DE ANCORAGEM COM ARGOLA D 60CM;;;;;;;;;;;;
9122003113;FITA DE ANCORAGEM COM ARGOLA D 80CM;;;;;;;;;;;;
9122003112;CORDA MULTIUSO 8MM X 100M;;;;;;;;;;;;
9122003111;CORDA LINHA DE VIDA 12MM X 35M;;;;;;;;;;;;
9122003043;CONVERSOR DE MIDIA OPTICO, SLOT 1000BASE-X SFP;;;;;;;;;;;;
9122003042;MODULO COMPATIVEL COM CISCO GLC BX20-D-I 20 KM DOM;;;;;;;;;;;;
9122003041;MODULO COMPATIVEL COM CISCO GLC-BX40-U-I 40 KM DOM;;;;;;;;;;;;
9122003027;MODULO COMPATIVEL COM CISCO GLC-BX40-U-I 20 KM DOM;;;;;;;;;;;;
9122003026;MODULO COMPATIVEL COM CISCO GLC-BX40-D-I – 40 KM DOM;;;;;;;;;;;;
9122003006;FILTRO MINI PASSA BANDA 2 CAVIDADES 50W DE POTENCIA FREQ. 360/400MHZ;;;;;;;;;;;;
9122001898;INVERSOR ON-GRID LIVOLTEK GT3-20K-D;;PRODUTO;INVERSOR - GT3;;;;;;;;;
9122001834;"ELETRODUTO RIGIDO PVC PRETO BSP 1/2"" 3M, ROSCAVEL";;;;;;;;;;;;
9122001806;SWITCH DATACOM 2104G2-EDD SERIES II;;;;;;;;;;;;
9122001805;EMENDA OPTICA SC FTTH MONOMODO VERDE APC PASSANTE;;;;;;;;;;;;
9122001804;CABO OPTICO DRO P 1 FIBRA OPTICA MONOMODO (G.657.A2), TUBO UNICO, CAPA LSZH, VAO 80M;;PRODUTO;CABO;;;;;;;;;
9122001803;ALCA PREFORMADA PARA CABO OPTICO;;;;;;;;;;;;
9122001802;KIT ANCORAGEM OLHAL COMPLETO (NAC);;;;;;;;;;;;
9122001801;ABRACADEIRA BAP 3 1,20M - KIT PADRAO TELECOM;;;;;;;;;;;;
9122001800;TERMINADOR OPTICO 6FO;;;;;;;;;;;;
9122001726;FITA PARA ROTULADOR BROTHER, 12MM X 8M, BRANCA, ESCRITA PRETA, M231, BROTHER;;;;;;;;;;;;
9122001725;ROTULADOR ELETRONICO BROTHER PT-M95BK;;;;;;;;;;;;
9122001724;REFIL GAS BUTANO;;;;;;;;;;;;
9122001723;MACARICO PORTATIL COM REGULAGEM GOURMET GAS;;;;;;;;;;;;
9122001722;CADEIRA DOBRAVEL DE METAL ASSENTO PLASTICO CAMPING EVENTOS;;;;;;;;;;;;
9122001721;MESA DOBRAVEL DURATEC ACO HDPE 86CM CAMPING PORTATIL;;;;;;;;;;;;
9122001720;CORDAO OPTICO SIMPLEX SM MONOMODO SC-APC/SC-APC, DIAMETRO 2MM- TAMANHO 2M;;;;;;;;;;;;
9122001719;CAIXA TERMINACAO FIBRA OPTICA ROSETA PTO 2P FTTH BR 86X86X27;;;;;;;;;;;;
9122001687;TERMINAL ELETRICO DO TIPO OLHAL DE COMPRESSAO PARA CABO 35MM² COM FURO 8MM;;;DIVERSOS;TERMINAL ELETRICO DO TIPO OLHAL DE COMPRESSAO PARA CABO 35MM² COM FURO 8MM;;;;;;;;
9122001582;"ELETRODUTO PVC RIGIDO, 3/4"", COM INSTALACAO APARENTE SOBRE A PAREDE";;;;;;;;;;;;
9122000872;TERMINAL TUBULAR ILHOS 6MM;;;;;;;;;;;;
9122000344;ARRUELA LISA GALV. 1/4;;;;;;;;;;;;
9121503080;SUPORTE EM ACO INOX 300MM*50MM*20MM (3051502640);;;;;;;;;;;;
9121503060;ARRUELA DE PRESSAO EM ACO INOX Ø6.1MM;;;;;;;;;;;;
9121503045;RADIO 900MHZ FREQUENCIA NAO LICENCIADA MODELO ECR (ECRU91NNNNNS1D1BRUNNN);;;;;;;;;;;;
9121503043;RADIO 900MHZ FREQUENCIA NAO LICENCIADA, VOLT 10~60VDC, MARCA GE, MODELO MCR (MXNXU91NNNNNNS3BEDUNN);;;;;;;;;;;;
9121502100;CABO COBRE NU 50MM²;;PRODUTO;CABO;;;;;;;;;
9121502060;DPS TIPO II 275VCA 45KA;;;;;;;;;;;;
9121502010;CONECTOR TIPO CUNHA COBRE 50/25;;PRODUTO;CONECTOR;;;;;;;;;
9121500637;INVERSOR ON-GRID LIVOLTEK GT1-10KT1;;PRODUTO;INVERSOR - GT1;;;;;;;;;
9121500219;CABO FOTOVOLTAICO PRETO: 6MM2 COOPER + ESTANHADO;;PRODUTO;KIT SOLAR - CABO;CABO FOTOVOLTAICO PRETO: 6MM2;;;;;;;;
9121500218;CABO FOTOVOLTAICO VERMELHO: 6MM2 COOPER + ESTANHADO;;PRODUTO;KIT SOLAR - CABO;CABO FOTOVOLTAICO VERMELHO: 6MM2;;;;;;;;
9121500086;TAMPA METALICA PARA INVERSOR HYPER-5000 (AC1-AIOR11001);;MATERIA-PRIMA;HYPER 5000;TAMPA METALICA PARA INVERSOR HYPER-5000 (AC1-AIOR11001);;;;;;;;
9121500058;ESTRUTURA METALICA PARA TELHADO CERAMICO;;PRODUTO;KIT SOLAR - TELHADO;ESTRUTURA METALICA PARA TELHADO CERAMICO;;;;;;;;
9121500036;COLUNA DE FIXACAO, DE ACO, PARA MONTAGEM DE ESTRUTURA FIXA DE CARREGADOR VEICULAR;;;DIVERSOS;COLUNA DE FIXACAO, DE ACO, PARA MONTAGEM DE ESTRUTURA FIXA DE CARREGADOR VEICULAR;;;;;;;;
9121317187;ETIQUETA EM ALUMINIO PARA IDENTIFICACAO DO RELAY, LETRAS BRANCAS, FUNDO AZUL;;;;;;;;;;;;
9121317180;ETIQUETA EM ALUMINIO PARA IDENTIFICACAO AO AP, LETRAS BRANCAS, FUNDO AZUL;;;;;;;;;;;;
9121290315;CAIXA PVC OCTAGONAL PASSAGEM PARA TETO (SIGFI) - CAIXA DE LUZ OCTOFONAL 4X4 AMARELA (SIGFI);;;DIVERSOS;CAIXA PVC OCTAGONAL PASSAGEM PARA TETO (SIGFI) - CAIXA DE LUZ OCTOFONAL 4X4 AMARELA (SIGFI);;;;;;;;
9121290310;CAIXA PRFV SIGFI-80;;;DIVERSOS;CAIXA PRFV SIGFI-80;;;;;;;;
9121290290;HASTE TERRA S/ROS.BR.IH-858 5/8' X 2,4 0 MTS;;;DIVERSOS;HASTE TERRA S/ROS.BR.IH-858 5/8' X 2,4 0 MTS;;;;;;;;
9121290281;ABRACADEIRA PARA CABO PP;;;DIVERSOS;ABRACADEIRA PARA CABO PP;;;;;;;;
9121290280;BUCHA NYLON BRANCA DT-8 8MM;;;DIVERSOS;BUCHA NYLON BRANCA DT-8 8MM;;;;;;;;
9121290244;PLACA CEGA 4X2 C/ SUPORTE CANOA;;;DIVERSOS;PLACA CEGA 4X2 C/ SUPORTE CANOA;;;;;;;;
9121290243;PLAFON SOBREPOR PVC NA COR BRANCO COM SOQUETE ROSCA E27;;;DIVERSOS;PLAFON SOBREPOR PVC NA COR BRANCO COM SOQUETE ROSCA E27;;;;;;;;
9121290242;CAIXA PVC RETANGULAR AM 4 X 2;;;DIVERSOS;CAIXA PVC RETANGULAR AM 4 X 2;;;;;;;;
9121290241;INTERRUPTOR PARA ILUMINACAO RESIDENCIAL DE 1 TECLA SOBREPOR;;;DIVERSOS;INTERRUPTOR PARA ILUMINACAO RESIDENCIAL DE 1 TECLA SOBREPOR;;;;;;;;
9121290240;QUADRO DE DISTRIBUICAO EM PVC DE CIRCUITO ELETRICO DO TIPO SOBREPOR PARA ATE 4 DISJUNTORES COM TRILHO DIN;;;DIVERSOS;QUADRO DE DISTRIBUICAO EM PVC DE CIRCUITO ELETRICO DO TIPO SOBREPOR PARA ATE 4 DISJUNTORES COM TRILHO DIN;;;;;;;;
9121290236;CONJUNTO SOB. 1 TOM. 2P+T BC JERI PLUS 10A;;;DIVERSOS;CONJUNTO SOB. 1 TOM. 2P+T BC JERI PLUS 10A;;;;;;;;
9121290235;LAMPADA DE LED 9W MODELO BULBO COM ROSCA E27 6500K BIVOLT;;;DIVERSOS;LAMPADA DE LED 9W MODELO BULBO COM ROSCA E27 6500K BIVOLT;;;;;;;;
9121290224;CABRNAX 90°C 1KV 16,0MM PRETO BB;;;DIVERSOS;CABRNAX 90°C 1KV 16,0MM PRETO BB;;;;;;;;
9121290223;CABRNAX 90°C 1KV 16,0MM VERMELHO BB;;;DIVERSOS;CABRNAX 90°C 1KV 16,0MM VERMELHO BB;;;;;;;;
9121290222;CABO COBRE 1 X 6MM² ISOLACAO 1 KV 90°C - COR VERDE COM AMARELO;;PRODUTO;DIVERSOS - CABO;CABO COBRE 1 X 6MM² ISOLACAO 1 KV 90°C - COR VERDE COM AMARELO;;;;;;;;
9121290221;CABRNAX 90°C 1KV 4,0MM PRETO BB;;;DIVERSOS;CABRNAX 90°C 1KV 4,0MM PRETO BB;;;;;;;;
9121290220;CABRNAX 90°C 1KV 4,0MM AZUL BB;;;DIVERSOS;CABRNAX 90°C 1KV 4,0MM AZUL BB;;;;;;;;
9121290210;ESTRUTURA METALICA PARA TELHADO CERAMICO - PERFIL 2,40;;PRODUTO;KIT SOLAR - TELHADO;ESTRUTURA METALICA PARA TELHADO CERAMICO - PERFIL 2,40;;;;;;;;
9121290203;CABO SOLAR 4MM² ISOLACAO 1,8KVCC 90°C - COR VERMELHO;;PRODUTO;KIT SOLAR - CABO;CABO SOLAR 4MM² ISOLACAO 1,8KVCC 90°C - COR VERMELHO;;;;;;;;
9121290202;CABO SOLAR 4MM² ISOLACAO 1,8KVCC 90°C - COR PRETO;;PRODUTO;KIT SOLAR - CABO;CABO SOLAR 4MM² ISOLACAO 1,8KVCC 90°C - COR PRETO;;;;;;;;
9121290000;BARRAMENTO DE DISTRIBUICAO HC-008 TERRA (VERDE) 6 LIGACOES 80A C/ PROTECAO (CABO 10MM) - FIX. TRILHO;;;;;;;;;;;;
9121280002;CABO FLEXIVEL 4MM² 1KV VERDE;;PRODUTO;CABO;;;;;;;;;
9121280000;CABO MULTINAX FLEX 2X1,50 MM² HEPR 90 ºC 0,6/1 KV;;PRODUTO;CABO;;;;;;;;;
9121261401;CONECTOR DE DERIVACAO TIPO CUNHA ASIMETRICO TIPO G CDC-G-VIAZ - INTELLI;;PRODUTO;CONECTOR;;;;;;;;;
9121261206;TERMINAL ELETRICO PRE ISOLADO TUBULAR TIPO ILHOS LONGO PARA CABO 4MM²;;;;;;;;;;;;
9121261200;TERMINAL ELETRICO DO TIPO OLHAL DE COMPRESSAO PARA CABO 35MM² COM FURO 8MM;;;;;;;;;;;;
9121260900;CONECTOR TORCAO PARA CONDUTORES DE COBRE, 600V, 105 C, PARA CABOS DE 1,5MM2 A 6MM2;;PRODUTO;CONECTOR;;;;;;;;;
9121260801;CABO FLEXIVEL 1KV SIL PT 3 X 4MM;;PRODUTO;DIVERSOS - CABO;CABO FLEXIVEL 1KV SIL PT 3 X 4MM;;;;;;;;
9121260800;CABO FLEXIVEL CL4 1KV HEPR 90°C VEIAS COLOR. PT 3 X 2,5MM;;PRODUTO;DIVERSOS - CABO;CABO FLEXIVEL CL4 1KV HEPR 90°C VEIAS COLOR. PT 3 X 2,5MM;;;;;;;;
9121260622;BARRAMENTO TIPO ALCA COM 8 PARAFUSOS M + 2 PARAFUSO M8;;;DIVERSOS;BARRAMENTO TIPO ALCA COM 8 PARAFUSOS M + 2 PARAFUSO M8;;;;;;;;
9121260621;BARRAMENTO TERRA 06 TERM VERDE FIX 70, 0MM SBT6;;;DIVERSOS;BARRAMENTO TERRA 06 TERM VERDE FIX 70, 0MM SBT6;;;;;;;;
9121260620;BARRAMENTO NEUTRO 06 TERM AZUL FIX 70, 0MM SBN6;;;DIVERSOS;BARRAMENTO NEUTRO 06 TERM AZUL FIX 70, 0MM SBN6;;;;;;;;
9121260614;TERMINAL OLHAL PRE ISOLADO PARA CABO 4-6MM²;;;DIVERSOS;TERMINAL OLHAL PRE ISOLADO PARA CABO 4-6MM²;;;;;;;;
9121260612;TERMINAL TUBULAR ILHOS DUPLO PRE-ISOLADO 6MM;;;DIVERSOS;TERMINAL TUBULAR ILHOS DUPLO PRE-ISOLADO 6MM;;;;;;;;
9121260611;TERMINAL TUBULAR ILHOS PRE-ISOLADO 6MM;;;DIVERSOS;TERMINAL TUBULAR ILHOS PRE-ISOLADO 6MM;;;;;;;;
9121260610;TERMINAL COMPRESSAO M.MAGNET (6306) 16MM;;;DIVERSOS;TERMINAL COMPRESSAO M.MAGNET (6306) 16MM;;;;;;;;
9121260608;TERM.ILH TUB.LJ DPL.ISO. CT-3709 4MM;;;DIVERSOS;TERM.ILH TUB.LJ DPL.ISO. CT-3709 4MM;;;;;;;;
9121260607;TERM.ILHOS TUB.CZ 692815 4MM;;;DIVERSOS;TERM.ILHOS TUB.CZ 692815 4MM;;;;;;;;
9121260606;TERMINAL TUBULAR ILHOS DUPLO 2,5MM;;;DIVERSOS;TERMINAL TUBULAR ILHOS DUPLO 2,5MM;;;;;;;;
9121260605;TERMINAL TUBULAR ILHOS PRE ISOLADO 2,5MM;;;DIVERSOS;TERMINAL TUBULAR ILHOS PRE ISOLADO 2,5MM;;;;;;;;
9121260602;TERMINAL OLHAL A COMPRESSAO PARA CABO 16MM², FURO PARAFUSO M8;;;;;;;;;;;;
9121260601;TERMINAL OLHAL A COMPRESSAO PARA CABO 25MM², FURO PARAFUSO M8;;;;;;;;;;;;
9121260520;TERMINAL PRE ISOLADO FEMEA 0,5-1,5MM², VERMELHO;;;;;;;;;;;;
9121260510;TERMINAL PRE-ISOLADO TIPO ILHOS 2,5MM;;;;;;;;;;;;
9121260505;TERMINAL PRE-ISOLADO TIPO ILHOS TUBULAR PARA CABO 1,5MM² PRETO;;;;;;;;;;;;
9121260504;TERMINAL PRE-ISOLADO TIPO OLHAL TUBULAR PARA CABO 0,5-1,5MM² VERMELHO;;;;;;;;;;;;
9121260503;TERMINAL PRE-ISOLADO TIPO OLHAL TUBULAR 35MM2;;;;;;;;;;;;
9121260502;TERMINAL PRE-ISOLADO TIPO OLHAL TUBULAR 25MM2;;;;;;;;;;;;
9121260501;TERMINAL PRE-ISOLADO TIPO OLHAL TUBULAR 16MM2;;;;;;;;;;;;
9121260500;TERMINAL PRE-ISOLADO TIPO OLHAL TUBULAR 10MM2;;;;;;;;;;;;
9121260404;CONECTOR BORNE SAK PARA CABO 35MM2, FIXACAO DIN;;PRODUTO;CONECTOR;;;;;;;;;
9121260401;CONECTOR BORNE SAK PARA CABO 10MM2, FIXACAO DIN;;PRODUTO;CONECTOR;;;;;;;;;
9121260311;CABO 35MM² ANTICHAMA SEMI RIGIDO, 450/750V COBRE, PVC, CLASSE 2, VERMELHO;;PRODUTO;CABO;;;;;;;;;
9121260310;CABO 35MM² ANTICHAMA SEMI RIGIDO, 450/750V COBRE, PVC, CLASSE 2, PRETO;;PRODUTO;CABO;;;;;;;;;
9121260309;CABO 35MM² ANTICHAMA SEMI RIGIDO, 450/750V COBRE, PVC, CLASSE 2, BRANCO;;PRODUTO;CABO;;;;;;;;;
9121260308;CABO 25MM² ANTICHAMA SEMI RIGIDO, 450/750V COBRE, PVC, CLASSE 2, VERMELHO;;PRODUTO;CABO;;;;;;;;;
9121260307;CABO 25MM² ANTICHAMA SEMI RIGIDO, 450/750V COBRE, PVC, CLASSE 2, PRETO;;PRODUTO;CABO;;;;;;;;;
9121260306;CABO 25MM² ANTICHAMA SEMI RIGIDO, 450/750V COBRE, PVC, CLASSE 2, BRANCO;;PRODUTO;CABO;;;;;;;;;
9121260305;CABO 16MM² ANTICHAMA SEMI RIGIDO, 450/750V COBRE, PVC, CLASSE 2, VERMELHO;;PRODUTO;CABO;;;;;;;;;
9121260304;CABO 16MM² ANTICHAMA SEMI RIGIDO, 450/750V COBRE, PVC, CLASSE 2, PRETO;;PRODUTO;CABO;;;;;;;;;
9121260303;CABO 16MM² ANTICHAMA SEMI RIGIDO, 450/750V COBRE, PVC, CLASSE 2, BRANCO;;PRODUTO;CABO;;;;;;;;;
9121260302;CABO 10MM² ANTICHAMA SEMI RIGIDO, 450/750V COBRE, PVC, CLASSE 2, VERMELHO;;PRODUTO;CABO;;;;;;;;;
9121260301;CABO 10MM² ANTICHAMA SEMI RIGIDO, 450/750V COBRE, PVC, CLASSE 2, PRETO;;PRODUTO;CABO;;;;;;;;;
9121260300;CABO 10MM² ANTICHAMA SEMI RIGIDO, 450/750V COBRE, PVC, CLASSE 2, BRANCO;;PRODUTO;CABO;;;;;;;;;
9121230002;ROLDANA COM ISOLAMENTO DE PORCELANA 72X72MM;;;;;;;;;;;;
9121230001;CONJUNTO ARMACAO METALICA E ISOLADOR VERTICAL ROLDANA DE PORCELANA;;;;;;;;;;;;
9121230000;ALCA PREFORMADA DE ALUMINIO PARA CABO ATE 35MM COM 450MM ALTURA E 3 FIOS DE ALUMINIO;;;;;;;;;;;;
9121201510;TERMOCAPTOR P/ POSTE DE CONCRETO 3 M GALVANIZADO A FOGO;;;;;;;;;;;;
9121200760;PRENSA CABO NYLON PG13.5;;;;;;;;;;;;
9121185031;PARAFUSO CABECA SEXTAVADA M10*200MM EM ACO INOXIDAVEL;;;;;;;;;;;;
9121185007;PROTETOR DE SURTO;;;;;;;;;;;;
9121185003;PARAFUSO DE CABECA QUADRADA - 300 MM;;;;;;;;;;;;
9121185001;PARAFUSO DE CABECA QUADRADA - 125 MM;;;;;;;;;;;;
9121183801;PARAFUSO AUTOBROCANTE M6 X 20MM;;;DIVERSOS;PARAFUSO AUTOBROCANTE M6 X 20MM;;;;;;;;
9121182040;PARAFUSO CAB.CHATA PHS 4,8X50MM D8;;;DIVERSOS;PARAFUSO CAB.CHATA PHS 4,8X50MM D8;;;;;;;;
9121166303;PARAFUSO CABECA SEXTAVADA EM ACO INOX M13*30MM;;;DIVERSOS;PARAFUSO CABECA SEXTAVADA EM ACO INOX M13*30MM;;;;;;;;
9121160120;PARAFUSO FLANG PHILLIPS 4,2 X 13 ZINCADO BRANCO - FIXACAO DAS PLACAS DOS MEDIDORES.;;;;;;;;;;;;
9121112601;PARAFUSO CABECA ESCAREADA Ø4,5 X 23 - FENDA PHILLIPS - ZINCADO BRANCO;;;;;;;;;;;;
9121112600;PARAFUSO CABECA ESCAREADA Ø4,5 X 23 - FENDA PHILLIPS - ZINCADO AMARELO;;;;;;;;;;;;
9121100202;PARAFUSO SEXTAVADO EM ACO INOX M6X16MM;;;;;;;;;;;;
9120901014;POSTE FINAL BORNE K SKEW35;;;DIVERSOS;POSTE FINAL BORNE K SKEW35;;;;;;;;
9120892533;CABO DE REDE CAT5 COM 4 PARES 24 AWG DE DUPLA CAPA BLINDADO PRETO;;PRODUTO;CABO;;;;;;;;;
9120821321;ELETRODUTO SUBTERRANEO CORRUGADO FLEXIVEL 1 POLEGADA;;;DIVERSOS;ELETRODUTO SUBTERRANEO CORRUGADO FLEXIVEL 1 POLEGADA;;;;;;;;
9120821304;SELO FUSIMEC 1/2;;;;;;;;;;;;
9120821303;SUPORTE DE ANTENA PARA CLIENTE POSTE/TORRE CLIENTE;;;;;;;;;;;;
9120819012;TERMINAL COMPRESSAO PARA CABO 10MM TCM-PINO MEDIO;;;;;;;;;;;;
9120819009;"CONDULETE DE PVC DE SOBREPOR, 4 ENTRADAS NA COR PRETO 3/4""";;;;;;;;;;;;
9120819008;"TAMPA CEGA FRONTAL DE PVC NA COR PRETO PARA CONDULETE 3/4""";;;;;;;;;;;;
9120819007;"TAMPAO DE PVC PARA CONDULETE 3/4""";;;;;;;;;;;;
9120819005;POSTE DE FIBRA DE VIDRO 100 DAN, 7 METROS, PADRAO COPEL RAMAL AEREO;;;DIVERSOS;POSTE DE FIBRA DE VIDRO 100 DAN, 7 METROS, PADRAO COPEL RAMAL AEREO;;;;;;;;
9120812002;CONECTOR AMPACTINHO TIPO III - VERMELHO (COD COPEL 15018873);;PRODUTO;CONECTOR;;;;;;;;;
9120812001;CONECTOR AMPACTINHO TIPO IV - AZUL (COD COPEL 15018838);;PRODUTO;CONECTOR;;;;;;;;;
9120697906;BATERIA DE CHUMBO-ACIDO 12V/18AH PARA ODIN-F40;;PRODUTO;BATERIA;;;;;;;;;
9120697905;BATERIA DE CHUMBO-ACIDO 12V/12AH PARA ODIN-F40;;PRODUTO;BATERIA;;;;;;;;;
9120697042;TERMINAL OLHAL PARA CABO 4MM² FURO PARAFUSO M6 (AMARELO);;;;;;;;;;;;
9120697041;TERMINAL ILHOS PARA CABO 4MM² (CINZA);;;;;;;;;;;;
9120697040;TERMINAL ILHOS PARA CABO 1,5MM² DUPLO (PRETO);;;;;;;;;;;;
9120697030;TERMINAL ILHOS DE COBRE ESTANHADO P/ CABO 35MM², CAPA PLASTICA VERMELHO LONGO 25 MM, TUBO, PP, 105C;;;;;;;;;;;;
9120697018;TERMINAL ILHOS DE COBRE ESTANHADO P/ CABO 25MM², CAPA PLASTICA AMARELO LONGO 22 MM, TUBO, PP, 105C;;;;;;;;;;;;
9120697010;TERMINAL ILHOS DE COBRE ESTANHADO P/ CABO 16MM², CAPA PLASTICA AZUL LONGO 22 MM, TUBO, PP, 105C;;;;;;;;;;;;
9120697006;TERMINAL ILHOS DE COBRE ESTANHADO P/ CABO 10MM², CAPA PLASTICA VERMELHO LONGO 22 MM, TUBO, PP, 105C;;;;;;;;;;;;
9120694613;CONECTOR DE EMENDA HASTE/FIO PARA ATERRAMENTO (COD COPEL 15014808);;PRODUTO;CONECTOR;;;;;;;;;
9120694473;ANTENA DIRECIONAL YAGI 380/400MHZ- MODELO DIRU-110/7E FABRICANTE ARS;;;;;;;;;;;;
9120694471;ANTENA DIRECIONAL YAGI 380/400MHZ- MODELO DIRU-120/8E FABRICANTE ARS;;;;;;;;;;;;
9120694470;ANTENA OMNI 300/420MHZ - MODELO G-3F12 FABRICANTE ARS;;;;;;;;;;;;
9120694438;CONVERSOR DC/DC 12V - 24V - 36V PARA 5V-3A COM CONECTOR P4 MACHO 5,5X2,1MM;;;;;;;;;;;;
9120694411;RADIO 900MHZ FREQUENCIA NAO LICENCIADA, VOLTAGEM DE 10~60VDC, MARCA GE, MODELO ECR (ECRU91NNNNNS1D1B;;;;;;;;;;;;
9120694410;RADIO 900MHZ FREQUENCIA NAO LICENCIADA, VOLT 10~60VDC, MARCA GE, MODELO MCR (MXNXU91NNNNNNS3BEDUNN);;;;;;;;;;;;
