CODIGO;DESCRICAO;CODIGO TOP MANAGER;CATEGORIA;FAMILIA;NOMENCLATURA;;;;;;;;
HXCB10R02103;DC STRING BOX HXCB06-1/1 600V 40A WITHOUT MCB;;PRODUTO;STRING BOX;DC STRING BOX HXCB06-1/1 600V 40A WITHOUT MCB;;;;;;;;
HXCB10R02102;DC STRING BOX HXCB10-2/2 1000V 40A WITHOUT MCB;;PRODUTO;STRING BOX;DC STRING BOX HXCB10-2/2 1000V 40A WITHOUT MCB;;;;;;;;
HXCB10R02101;DC STRING BOX HXCB10-1/1 1000V 40A WITHOUT MCB;;PRODUTO;STRING BOX;DC STRING BOX HXCB10-1/1 1000V 40A WITHOUT MCB;;;;;;;;
HXB8021Z.R310(1P3W);PLACA DE CIRCUITO IMPRESSO C/ COMPONENTES ELET. MONTADOS P/ MEDID. DE ENERGIA ELETRICA ZEUS NG 8021 1P3W C/ SU CIU RELE;;;;;;;;;;;;
HXAP1000R21100;MODULO DE COMUNICACAO WISUN HXAP1000;;;;;;;;;;;;
HP3-25KT2R11002;INVERSOR HIBRIDO TRIFASICO HP3 -25KT2 380V AFCI;;PRODUTO;INVERSOR HP3;HP3-25KT2R11002;;;;;;;;
HP1-7K5S2MR11001;INVERSORES PARA SISTEMAS FOTOVOLTAICOS HIBRIDO MONOFASICO 7,5KW 220V 2 MPPT AFCI - HP1-7K5S2M;;PRODUTO;INVERSOR HP1;HP1-7K5S2M;;;;;;;;
HP1-3KS2R11001;INVERSORES PARA SISTEMAS FOTOVOLTAICOS HIBRIDO MONOFASICO 3KW 127V 2 MPPT AFCI;;PRODUTO;INVERSOR HP1;HP1-3KS2R11001;;;;;;;;
HP1-3KL2R11001;INVERSOR HIBRIDO MONOFASICO 3KW 127V 2 MPPT AFCI -HP1-3KL2;;PRODUTO;INVERSOR HP1;HP1-3KL2;;;;;;;;
HP1-1K5S2R11001;INVERSOR HIBRIDO MONOFASICO 1,5KW 220V 1 MPPT AFCI - HP1-1K5S2;;PRODUTO;INVERSOR HP1;HP1-1K5S2;;;;;;;;
