CODIGO,TP,GRUPO,DESCRICAO,U.M.,FL,ARMZ, SALDO EM ESTOQUE , EMPENHO PARA REQ/PV/RESERVA , ESTOQUE DISPONIVEL ,VALOR EM ESTOQUE,VALOR EMPENHADO,DESCRICAO DO ARMAZEM,CÓDIGO TOP MANAGER,Armazém Dashboard,Categoria,Família,Nomenclatura
3012001050,MP,MP09,DISJUNTOR CAIXA MOLDADA; CDM6H-250M/3308;250.0A;3P;50KA;ROHS (3012001050),UN,10108,7,  4 , - ,  4 ,"R$ 731,13",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,DISJUNTOR CAIXA MOLDADA; CDM6H-250M/3308;250.0A;3P;50KA;ROHS (3012001050)
3012103830,MP,MP08,TERMINAL ELETRICO MC4 FEMEA,UN,10108,7,  8.325 , - ,  8.325 ,"R$ 12.975,35",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,TERMINAL ELETRICO MC4 FEMEA
3012103860,MP,MP08,CONECTOR MC4 MACHO,UN,10108,7,  9.030 , - ,  9.030 ,"R$ 6.998,25",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,KIT SOLAR - CONECTOR,CONECTOR MC4 MACHO
3012103890,MP,MP08,CONECTOR MC4 FEMEA,UN,10108,7,  9.030 , - ,  9.030 ,"R$ 7.019,92",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,KIT SOLAR - CONECTOR,CONECTOR MC4 FEMEA
3012103900,MP,MP08,TERMINAL ELETRICO MC4 MACHO,UN,10108,7,  8.325 , - ,  8.325 ,"R$ 6.487,67",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,TERMINAL ELETRICO MC4 MACHO
3013200750,MP,MP06,DISPOSITIVO DE PROTECAO CONTRA SURTOS (DPS);70.3*99.7*67,UN,10108,7,  4 , - ,  4 ,"R$ 221,80",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,DISPOSITIVO DE PROTECAO CONTRA SURTOS (DPS);70.3*99.7*67
3013400040,MP,MP08,RELE (CONTATOR) PARA UMA TENSAO DE ATE 400V CONTROLE DA FONTE DE ALIMENTACAO DO MODULO DE CARREGAMENTO;AC 400V;3P; (3013,UN,10108,7,  2 , - ,  2 ,"R$ 1.484,34",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,RELE (CONTATOR) PARA UMA TENSAO DE ATE 400V CONTROLE DA FONTE DE ALIMENTACAO DO MODULO DE CARREGAMENTO;AC 400V;3P; (3013
3013400100,MP,MP08,RELE (CONTATOR) PARA UMA TENSAO DE ATE 1000V DC;12~1000VDC;CE;ROHS (3013400100),UN,10108,7,  25 , - ,  25 ,"R$ 3.153,58",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,RELE (CONTATOR) PARA UMA TENSAO DE ATE 1000V DC;12~1000VDC;CE;ROHS (3013400100)
3013500320,MP,MP08,FUSIVEL; SEV-43F-1000V;1000V;400.0A;ROHS,UN,10108,7,  1 , - ,  1 ,"R$ 74,85",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,FUSIVEL; SEV-43F-1000V;1000V;400.0A;ROHS
3013500620,MP,MP08,FUSIVEL PARA UMA TENSAO NAO SUPERIOR A 1000V ;SEV-43F-250/1000;DC;250.0A;ROHS(3013500620),UN,10108,7,  7 , - ,  7 ,"R$ 636,62",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,FUSIVEL PARA UMA TENSAO NAO SUPERIOR A 1000V ;SEV-43F-250/1000;DC;250.0A;ROHS(3013500620)
